site,season,burned,dist_perim,dist_perimQuad,rdnbr_abs,rdnbrQuad,rdnbr_het
CG-016,21_1,burned,-0.97,0.941,304.54,92744.61,276.82
CG-017,21_1,unburned,0.45,0.203,-68.36,4673.09,139.59
CG-018,21_1,burned,-0.06,0.004,55.6,3091.36,81.45
CG-019,21_1,unburned,3.29,10.824,-16.59,275.23,59.64
CG-020,21_1,unburned,7.38,54.464,-11.56,133.63,79.79
CG-029,21_1,burned,-3.54,12.532,422.27,178311.95,307.22
CG-030,21_1,burned,-0.75,0.563,297.15,88298.12,203.71
CG-031,21_1,unburned,0.79,0.624,-1.24,1.54,49.7
CG-033,21_1,unburned,8.35,69.723,-11.56,133.63,79.79
CG-042,21_1,burned,-1.2,1.44,878.35,771498.72,160.13
CG-044,21_1,burned,-3.8,14.44,708.76,502340.74,197.73
CG-045,21_1,burned,-0.59,0.348,246.87,60944.80,199.68
CG-047,21_1,unburned,5.44,29.594,-11.56,133.63,79.79
CG-048,21_1,unburned,9.12,83.174,-11.56,133.63,79.79
CG-056,21_1,burned,-0.32,0.102,377.85,142770.62,271.32
CG-057,21_1,burned,-4.42,19.536,882.68,779123.98,106.87
CG-058,21_1,burned,-6.31,39.816,665.96,443502.72,207.52
CG-059,21_1,burned,-3.36,11.29,464.75,215992.56,212.79
CG-069,21_1,burned,-1.09,1.188,425.72,181237.52,339.32
CG-070,21_1,burned,-4.78,22.848,622.4,387381.76,257.7
CG-071,21_1,burned,-4.55,20.703,620.06,384474.40,203.97
CG-073,21_1,unburned,1.34,1.796,0.17,0.03,45.95
CG-074,21_1,unburned,3.94,15.524,-19.29,372.10,22.96
CG-075,21_1,unburned,8.34,69.556,-11.56,133.63,79.79
CG-084,21_1,unburned,3.82,14.592,-11.45,131.10,35.89
CG-085,21_1,unburned,6.77,45.833,-11.56,133.63,79.79
CG-088,21_1,unburned,1.03,1.061,-12.27,150.55,51.91
CG-089,21_1,burned,-0.01,0,-10.2,104.04,43.83
CG-090,21_1,unburned,1.83,3.349,-3.83,14.67,39.94
CG-092,21_1,unburned,6.46,41.732,-29.85,891.02,68.22
CG-096,21_1,unburned,3.43,11.765,16.84,283.59,63.25
CG-097,21_1,unburned,5.4,29.16,94.28,8888.72,133.96
CG-098,21_1,unburned,7.14,50.98,8.62,74.30,56.24
