site,season,burned,tsf,ndvi_abs,ndvi_het
CG-088,15_2,prefire,-21,0.302,0.0366
CG-089,15_2,prefire,-21,0.322,0.0314
CG-090,15_2,prefire,-21,0.289,0.0371
CG-092,15_2,prefire,-21,0.312,0.0483
CG-096,15_2,prefire,-21,0.291,0.0375
CG-097,15_2,prefire,-21,0.233,0.0857
CG-098,15_2,prefire,-21,0.273,0.0578
CG-102,15_2,prefire,-21,0.276,0.059
CG-103,15_2,prefire,-21,0.269,0.0582
CO-TR,15_2,prefire,-9,0.16,0.0207
DO-CA3,15_2,prefire,-9,0.164,0.0246
DR-SP2,15_2,prefire,-9,0.156,0.0241
EA-MW2,15_2,prefire,-9,0.142,0.0299
FR-RO,15_2,prefire,-9,0.167,0.0256
GY-FO,15_2,prefire,-9,0.162,0.0135
IR-ME1,15_2,prefire,-9,0.164,0.0194
IRC01,15_2,prefire,-9,0.136,0.023
IRC02,15_2,prefire,-9,0.166,0.0317
IRC03,15_2,prefire,-9,0.166,0.0293
IRC04,15_2,prefire,-9,0.154,0.021
IRC05,15_2,prefire,-9,0.153,0.0243
IRC06,15_2,prefire,-9,0.164,0.026
IRC07,15_2,prefire,-9,0.167,0.0246
IRC09,15_2,prefire,-9,0.149,0.0195
IRC10,15_2,prefire,-9,0.168,0.024
IRC12,15_2,prefire,-9,0.171,0.0347
IRC13,15_2,prefire,-9,0.149,0.0182
LI-ME2,15_2,prefire,-9,0.157,0.0179
LO-WE2,15_2,prefire,-9,0.175,0.0281
MO-FR1,15_2,prefire,-9,0.167,0.0251
OR-LO,15_2,prefire,-9,0.154,0.0397
OV-TR,15_2,prefire,-9,0.144,0.0244
RO-CA2,15_2,prefire,-9,0.149,0.016
SO-GY,15_2,prefire,-9,0.164,0.0201
UP-WE,15_2,prefire,-9,0.163,0.025
WE-TR1,15_2,prefire,-9,0.185,0.0317
WE-TR3,15_2,prefire,-9,0.167,0.029
AG-CH,15_3,prefire,-8,0.178,0.0292
AU-TR,15_3,prefire,-8,0.166,0.031
BO-SP,15_3,prefire,-8,0.172,0.0304
BO-TR,15_3,prefire,-8,0.185,0.0291
CG-001,15_3,prefire,-20,0.187,0.0538
CG-002,15_3,prefire,-20,0.187,0.046
CG-003,15_3,prefire,-20,0.194,0.063
CG-004,15_3,prefire,-20,0.279,0.0456
CG-005,15_3,prefire,-20,0.242,0.0489
CG-006,15_3,prefire,-20,0.24,0.061
CG-016,15_3,prefire,-20,0.266,0.0628
